,koff,mean_N,var_N
0,0.1,2071.06,249616.53639999963
1,0.35,914.86,51083.06039999996
2,0.6,556.76,24033.64240000001
3,0.8499999999999999,391.87,13122.433099999995
4,1.0999999999999999,306.56,8206.546400000007
5,1.3499999999999999,246.28,5481.241600000001
6,1.5999999999999999,206.12,3236.525600000001
7,1.8499999999999999,177.18,2285.167599999997
8,2.0999999999999996,156.38,1804.2155999999995
9,2.3499999999999996,138.11,1828.1178999999975
10,2.5999999999999996,122.99,1509.7099000000017
11,2.8499999999999996,116.58,1339.9035999999996
12,3.0999999999999996,106.49,1037.389900000002
13,3.3499999999999996,101.84,925.2743999999984
14,3.5999999999999996,91.72,838.8016000000007
15,3.8499999999999996,84.84,631.0343999999986
16,4.1,78.84,539.8144000000002
17,4.349999999999999,74.85,470.02750000000106
18,4.599999999999999,71.86,451.84040000000005
19,4.849999999999999,67.94,387.51640000000043
20,5.099999999999999,65.2,305.65999999999985
21,5.349999999999999,60.33,237.6211000000003
22,5.599999999999999,56.78,264.4115999999999
23,5.849999999999999,55.41,254.70190000000002
24,6.099999999999999,53.11,225.8179
25,6.349999999999999,51.51,204.28990000000022
26,6.599999999999999,49.92,213.63359999999966
27,6.849999999999999,48.68,207.09760000000006
28,7.099999999999999,46.5,199.55000000000018
29,7.349999999999999,44.41,196.2219
30,7.599999999999999,42.85,179.4074999999998
31,7.849999999999999,41.14,154.30039999999985
32,8.1,40.12,142.84560000000033
33,8.349999999999998,39.1,148.4699999999998
34,8.599999999999998,38.13,133.5130999999999
35,8.849999999999998,36.67,123.38109999999983
36,9.099999999999998,35.7,115.18999999999983
37,9.349999999999998,35.22,108.23160000000007
38,9.599999999999998,34.14,114.0003999999999
39,9.849999999999998,33.48,102.46960000000036
40,10.099999999999998,32.82,111.24760000000015
41,10.349999999999998,31.72,112.56160000000011
42,10.599999999999998,30.75,111.48749999999995
43,10.849999999999998,29.84,91.93439999999998
44,11.099999999999998,29.07,86.14510000000007
45,11.349999999999998,28.87,93.49309999999991
46,11.599999999999998,28.74,95.8524000000001
47,11.849999999999998,27.76,81.64239999999995
48,12.099999999999998,27.26,74.31239999999991
49,12.349999999999998,26.87,69.47309999999993
50,12.599999999999998,26.2,63.58000000000004
51,12.849999999999998,26.43,65.6051
52,13.099999999999998,25.1,54.909999999999854
53,13.349999999999998,24.47,60.3691
54,13.599999999999998,24.41,55.081899999999905
55,13.849999999999998,23.55,54.667499999999905
56,14.099999999999998,23.04,54.49840000000006
57,14.349999999999998,23.23,47.857099999999946
58,14.599999999999998,22.83,46.04110000000003
59,14.849999999999998,22.21,40.0659
60,15.099999999999998,21.8,42.200000000000045
61,15.349999999999998,21.27,41.39710000000002
62,15.599999999999998,20.79,46.70590000000004
63,15.849999999999998,20.75,44.20749999999998
64,16.099999999999998,20.47,42.729100000000074
65,16.349999999999998,19.91,41.36189999999999
66,16.599999999999998,20.13,41.37310000000002
67,16.849999999999998,19.73,36.457100000000025
68,17.099999999999998,19.71,41.205899999999986
69,17.349999999999998,19.21,40.08589999999998
70,17.599999999999998,18.75,37.08749999999998
71,17.849999999999998,18.45,36.78750000000002
72,18.099999999999998,18.14,32.86039999999997
73,18.349999999999998,17.71,32.965899999999976
74,18.599999999999998,17.58,27.74360000000007
75,18.849999999999998,17.57,28.08510000000001
