,koff,delta_koff_sq
0,0.001,0.0005312943950039167
1,0.0035,0.0005709407743804043
2,0.006,0.0005464525124632799
3,0.0085,0.000594147883527749
4,0.011,0.0006042969868985553
5,0.013500000000000002,0.0006340502280404077
6,0.016,0.0006413175470375348
7,0.018500000000000003,0.0006091654959304788
8,0.021,0.0007120046936159416
9,0.0235,0.0006747397913644312
10,0.026000000000000002,0.0007257728559004737
11,0.0285,0.0007396731840379983
12,0.031,0.0007876954386902322
13,0.0335,0.0007915210705106458
14,0.036000000000000004,0.0008810436018299798
15,0.0385,0.0009000319426993063
16,0.041,0.000923176177483563
17,0.043500000000000004,0.0008252613409181866
18,0.046,0.0008866563408109235
19,0.0485,0.0009974126664439968
20,0.051000000000000004,0.0010580754429570245
21,0.0535,0.0011132827091440256
22,0.056,0.00119911673665924
23,0.0585,0.0011813080021048127
24,0.061,0.0011287021402232847
25,0.0635,0.0011473190920252463
26,0.066,0.001123658635068456
27,0.0685,0.0011870147828349099
28,0.07100000000000001,0.0011465256010216715
29,0.0735,0.0014717340917406155
30,0.076,0.0012678939275657993
31,0.0785,0.001460146497852819
32,0.081,0.0012373601963653006
33,0.0835,0.001374788255441778
34,0.08600000000000001,0.0013183748854694686
35,0.08850000000000001,0.0014779868398228516
36,0.091,0.001542474035049228
37,0.0935,0.0014985351885714467
38,0.096,0.001643832779095434
39,0.0985,0.0015400550396408134
40,0.125,0.0020292969912405487
41,0.15,0.0020545756484624668
42,0.175,0.003006370311833943
43,0.19999999999999998,0.003346238721487906
44,0.22499999999999998,0.0049430998498110985
45,0.24999999999999997,0.004910393763441853
46,0.27499999999999997,0.006296163436589703
47,0.29999999999999993,0.008339849395451586
48,0.32499999999999996,0.010094733359276192
49,0.35,0.010167345565239686
50,0.37499999999999994,0.012129030377341138
51,0.3999999999999999,0.013654551953020873
52,0.42499999999999993,0.01574429610781803
53,0.44999999999999996,0.018135477703965595
54,0.4749999999999999,0.017647760768140546
55,0.4999999999999999,0.018519622150175743
56,0.5249999999999999,0.019747996639294274
57,0.5499999999999999,0.024090498044702015
58,0.575,0.02474858354823394
59,0.5999999999999999,0.028728739187747158
60,0.6249999999999999,0.030605151472761733
61,0.6499999999999999,0.036711623944917074
62,0.6749999999999998,0.03693272569961448
63,0.6999999999999998,0.04252924580826589
64,0.7249999999999999,0.03806136144676047
65,0.7499999999999999,0.046384185078549904
66,0.7749999999999999,0.058082629506519476
67,0.7999999999999998,0.05392600036964941
68,0.8249999999999998,0.05180064665030075
69,0.8499999999999999,0.06276765045218892
70,0.8749999999999998,0.06268832313452322
71,0.8999999999999998,0.06643424611663667
72,0.9249999999999998,0.06796723894417792
73,0.9499999999999998,0.0631925318190985
74,0.9749999999999999,0.06927977679400811
75,0.9999999999999998,0.08016053606188135
76,1.025,0.0941334977511097
77,1.0499999999999998,0.08735601577835685
78,1.0749999999999997,0.0932639207968016
79,1.0999999999999996,0.10935752768846355
80,1.1249999999999998,0.11433271195544424
81,1.1499999999999997,0.09152155099172252
82,1.1749999999999998,0.09229693259870207
83,1.1999999999999997,0.09969535662696684
84,1.2249999999999996,0.11560044256364625
85,1.2499999999999998,0.12120991421207139
86,1.2749999999999997,0.11370026230641073
87,1.2999999999999998,0.11060266251626873
88,1.3249999999999997,0.12427469115766963
89,1.3499999999999996,0.11228308690127063
90,1.3749999999999998,0.11567289930213605
91,1.3999999999999997,0.11084213016197549
92,1.4249999999999998,0.11646450796235158
93,1.4499999999999997,0.11234676873363655
94,1.4749999999999996,0.12026396336710746
95,1.4999999999999998,0.13200366259968166
96,1.5249999999999997,0.14503068176321635
97,1.5499999999999996,0.13366764076807988
98,1.5749999999999997,0.14389001672597138
99,1.5999999999999996,0.14058742341934033
100,1.6249999999999996,0.157882387660257
101,1.6499999999999997,0.15606054580079667
102,1.6749999999999996,0.1628296261902085
103,1.6999999999999997,0.1727370443913554
104,1.7249999999999996,0.18003457106275178
105,1.7499999999999996,0.1764241689598521
106,1.7749999999999997,0.18458773726503294
107,1.7999999999999996,0.1867830248233888
108,1.8249999999999997,0.20330901835305312
109,1.8499999999999996,0.20485555398837668
110,1.8749999999999996,0.23806679425251262
111,1.8999999999999997,0.22246538603075716
112,1.9249999999999996,0.24924063162571414
113,1.9499999999999995,0.2919906239124976
114,1.9749999999999996,0.32445568836943256
115,1.9999999999999996,0.33515577750577147
116,2.0249999999999995,0.35493451271720056
117,2.05,0.3742412613747171
118,2.0749999999999993,0.38707688453646655
119,2.0999999999999996,0.42000855392417374
120,2.1249999999999996,0.4255679651438114
121,2.1499999999999995,0.4268706768574581
122,2.1749999999999994,0.4145900590242686
123,2.1999999999999997,0.4375571929243139
124,2.2249999999999996,0.45092741815324017
125,2.2499999999999996,0.38151253916094735
126,2.2749999999999995,0.406905038610544
127,2.2999999999999994,0.4299062166223293
128,2.3249999999999993,0.4721494727077182
129,2.3499999999999996,0.504835717070613
130,2.3749999999999996,0.4961711043289489
131,2.3999999999999995,0.4868593895166413
132,2.4249999999999994,0.5071474576482059
133,2.4499999999999993,0.4885519318251358
134,2.4749999999999996,0.5263158777605982
135,2.4999999999999996,0.48581531185970284
136,2.5249999999999995,0.5013181832712352
137,2.5499999999999994,0.5239659691757986
138,2.5749999999999993,0.5161069813792534
139,2.5999999999999996,0.5672001722287568
140,2.6249999999999996,0.6461036366129206
141,2.6499999999999995,0.6569988754767956
142,2.6749999999999994,0.6580388386769838
143,2.6999999999999993,0.6530841200997691
144,2.7249999999999996,0.6959802650538678
145,2.7499999999999996,0.6647404238884104
