,koff,delta_koff_sq
0,0.1,3.459597940170519
1,0.6,4.716349257993541
2,1.1,4.435762447237831
3,1.6,3.9163459008399704
4,2.1,3.5309506290739887
5,2.6,3.289056017816353
6,3.1,3.1381260571561462
7,3.6,3.057610282330366
8,4.1,2.8226628541644563
9,4.6,2.8693103808466778
10,5.1,2.9081610176104387
11,5.6,2.9612487196620374
12,6.1,3.17831156988381
13,6.6,3.3867709726030832
14,7.1,3.7082403147964507
15,7.6,4.22185967260802
16,8.1,4.987060481357872
17,8.6,5.791563910198383
18,9.1,6.515974068046944
19,9.6,7.650244012189871
20,10.1,9.041131609569378
21,10.6,10.880943375289839
22,11.1,13.706150061011423
23,11.6,17.54819929452337
24,12.1,23.166832687965364
25,12.6,31.680999623528574
26,13.1,45.5241518306081
27,13.6,69.6373008387189
28,14.1,118.74076042992249
29,14.6,233.45396010142252
30,15.1,625.9649506805616
31,15.6,3489.2539811030406
32,16.1,39803.62210745424
33,16.6,1489.0028902991007
34,17.1,498.26692119085857
35,17.6,268.6014533729529
36,18.1,174.21969596030766
37,18.6,126.46296473346608
38,19.1,101.20950440704817
39,19.6,86.45255136256858
40,20.1,75.92458410006492
41,20.6,70.04281792579499
42,21.1,64.8737442024901
43,21.6,63.73600249214577
44,22.1,64.89239457472253
45,22.6,68.99639286644987
46,23.1,74.50935861329624
47,23.6,83.09222912969368
48,24.1,97.0402838985785
49,24.6,122.10074708610834
50,25.1,159.19844638952264
51,25.6,225.6180977134143
52,26.1,359.17703842279553
53,26.6,698.4339772478875
54,27.1,2018.556569444928
55,27.6,38994.03053825006
56,28.1,6020.083251231192
57,28.6,1003.4053531084145
58,29.1,390.01321389367297
59,29.6,202.86983568707728
60,30.1,124.77894339437418
61,30.6,82.99801932738744
62,31.1,59.53697432978244
63,31.6,44.87681416987915
64,32.1,33.03074702729238
65,32.6,26.839293781718542
66,33.1,22.603187222835736
67,33.6,19.644493565546753
68,34.1,17.271346586341952
69,34.6,15.419651737550822
70,35.1,14.153681524641483
71,35.6,13.29349546679915
72,36.1,12.682181127794646
73,36.6,12.424185879369384
74,37.1,12.410226356505413
75,37.6,12.62535468811498
76,38.1,13.009734164637385
77,38.6,13.803720593460467
78,39.1,15.193423064216203
79,39.6,17.109276748111682
80,40.1,19.797885880068527
81,40.6,24.934419770868168
82,41.1,33.4020569242441
83,41.6,52.12779706307488
84,42.1,104.00265546366998
85,42.6,367.20871147477317
86,43.1,59033912.2741855
87,43.6,286.8125615868273
88,44.1,64.18249361430742
89,44.6,25.679180554585272
90,45.1,12.88038859586757
91,45.6,7.440074369661002
92,46.1,4.659104492819038
93,46.6,3.093864733622248
94,47.1,2.1541451040613313
95,47.6,1.5632337303411774
96,48.1,1.237731469573978
97,48.6,0.9376039344723937
98,49.1,0.7156944096154335
99,49.6,0.5618052495379845
