,koff,rel_err_koff
0,0.1,0.08684699352010028
1,0.1125,0.08687855418763349
2,0.125,0.08691007043319919
3,0.1375,0.08694154229331767
4,0.15,0.0869729698045092
5,0.16249999999999998,0.08700435300329407
6,0.175,0.08703569192619257
7,0.1875,0.08706698660972495
8,0.19999999999999998,0.08709823709041155
9,0.21249999999999997,0.0871294434047726
10,0.22499999999999998,0.08716060558932841
11,0.23749999999999996,0.08719172368059926
12,0.24999999999999997,0.08722279771510544
13,0.26249999999999996,0.08725382772936721
14,0.27499999999999997,0.08728481375990488
15,0.2875,0.08731575584323872
16,0.29999999999999993,0.08734665401588902
17,0.3125,0.08737750831437605
18,0.32499999999999996,0.08740831877522011
19,0.3374999999999999,0.08743908543494147
20,0.35,0.08746980833006042
21,0.36249999999999993,0.08750048749709724
22,0.3749999999999999,0.08753112297257222
23,0.38749999999999996,0.08756171479300563
24,0.3999999999999999,0.08759226299491778
25,0.4125,0.08762276761482891
26,0.42499999999999993,0.08765322868925934
27,0.4374999999999999,0.08768364625472935
28,0.44999999999999996,0.08771402034775921
29,0.4624999999999999,0.08774435100486921
30,0.47499999999999987,0.08777463826257963
31,0.48749999999999993,0.08780488215741075
32,0.4999999999999999,0.08783508272588288
33,0.5125,0.08786524000451626
34,0.5249999999999999,0.0878953540298312
35,0.5374999999999999,0.08792542483834798
36,0.5499999999999999,0.08795545246658688
37,0.5624999999999999,0.08798543695106818
38,0.5749999999999998,0.08801537832831219
39,0.5874999999999999,0.08804527663483915
40,0.5999999999999999,0.08807513190716937
41,0.6124999999999998,0.08810494418182313
42,0.6249999999999999,0.08813471349532072
43,0.6374999999999998,0.0881644398841824
44,0.6499999999999998,0.08819412338492849
45,0.6624999999999999,0.08822376403407924
46,0.6749999999999998,0.08825336186815494
47,0.6874999999999999,0.08828291692367587
48,0.6999999999999998,0.08831242923716234
49,0.7124999999999998,0.08834189884513462
50,0.7249999999999999,0.08837132578411297
51,0.7374999999999998,0.0884007100906177
52,0.7499999999999999,0.08843005180116909
53,0.7624999999999998,0.08845935095228742
54,0.7749999999999998,0.08848860758049296
55,0.7874999999999999,0.08851782172230602
56,0.7999999999999998,0.08854699341424685
57,0.8124999999999998,0.08857612269283577
58,0.8249999999999998,0.08860520959459303
59,0.8374999999999998,0.08863425415603894
60,0.8499999999999998,0.08866325641369376
61,0.8624999999999998,0.08869221640407779
62,0.8749999999999998,0.08872113416371132
63,0.8874999999999998,0.0887500097291146
64,0.8999999999999998,0.08877884313680795
65,0.9124999999999998,0.08880763442331165
66,0.9249999999999998,0.08883638362514595
67,0.9374999999999998,0.08886509077883116
68,0.9499999999999998,0.08889375592088757
69,0.9624999999999998,0.08892237908783543
70,0.9749999999999998,0.08895096031619507
71,0.9874999999999998,0.08897949964248673
72,0.9999999999999998,0.08900799710323072
73,1.0124999999999997,0.08903645273494731
74,1.025,0.0890648665741568
75,1.0374999999999999,0.08909323865737945
76,1.0499999999999998,0.08912156902113556
77,1.0624999999999998,0.0891498577019454
78,1.0749999999999997,0.08917810473632927
79,1.0875,0.08920631016080745
80,1.0999999999999999,0.08923447401190021
81,1.1124999999999998,0.08926259632612785
82,1.1249999999999998,0.08929067714001063
83,1.1375,0.08931871649006885
84,1.15,0.08934671441282281
85,1.1624999999999999,0.08937467094479276
86,1.1749999999999998,0.089402586122499
87,1.1874999999999998,0.08943045998246181
88,1.1999999999999997,0.08945829256120148
89,1.2125,0.0894860838952383
90,1.2249999999999999,0.08951383402109252
91,1.2374999999999998,0.08954154297528445
92,1.2499999999999998,0.08956921079433437
93,1.2624999999999997,0.08959683751476256
94,1.275,0.08962442317308932
95,1.2874999999999999,0.08965196780583491
96,1.2999999999999998,0.08967947144951961
97,1.3124999999999998,0.08970693414066373
98,1.3249999999999997,0.08973435591578753
99,1.3375,0.08976173681141131
100,1.3499999999999999,0.08978907686405534
101,1.3624999999999998,0.0898163761102399
102,1.3749999999999998,0.08984363458648528
103,1.3874999999999997,0.08987085232931177
104,1.4,0.08989802937523966
105,1.4124999999999999,0.08992516576078921
106,1.4249999999999998,0.08995226152248072
107,1.4374999999999998,0.08997931669683447
108,1.4499999999999997,0.09000633132037074
109,1.4624999999999997,0.0900333054296098
110,1.4749999999999999,0.09006023906107197
111,1.4874999999999998,0.0900871322512775
112,1.4999999999999998,0.09011398503674668
113,1.5124999999999997,0.0901407974539998
114,1.5249999999999997,0.09016756953955715
115,1.5374999999999999,0.09019430132993901
116,1.5499999999999998,0.09022099286166566
117,1.5624999999999998,0.09024764417125736
118,1.5749999999999997,0.09027425529523443
119,1.5874999999999997,0.09030082627011712
120,1.5999999999999996,0.09032735713242576
121,1.6124999999999998,0.09035384791868059
122,1.6249999999999998,0.0903802986654019
123,1.6374999999999997,0.09040670940911
124,1.6499999999999997,0.09043308018632513
125,1.6624999999999996,0.09045941103356762
126,1.6749999999999998,0.09048570198735773
127,1.6874999999999998,0.09051195308421574
128,1.6999999999999997,0.09053816436066194
129,1.7124999999999997,0.0905643358532166
130,1.7249999999999996,0.09059046759840002
131,1.7374999999999998,0.09061655963273249
132,1.7499999999999998,0.09064261199273427
133,1.7624999999999997,0.09066862471492565
134,1.7749999999999997,0.09069459783582694
135,1.7874999999999996,0.09072053139195838
136,1.7999999999999998,0.09074642541984028
137,1.8124999999999998,0.09077227995599292
138,1.8249999999999997,0.09079809503693657
139,1.8374999999999997,0.09082387069919154
140,1.8499999999999996,0.0908496069792781
141,1.8624999999999996,0.09087530391371652
142,1.8749999999999998,0.0909009615390271
