,koff,mean_N,var_N
0,10.0,32.4,101.03999999999996
1,10.1,19.4,20.240000000000066
2,10.2,36.4,194.24000000000024
3,10.299999999999999,34.8,66.96000000000026
4,10.399999999999999,33.2,78.55999999999972
5,10.499999999999998,33.6,83.44000000000005
6,10.599999999999998,35.6,84.23999999999978
7,10.699999999999998,34.8,100.16000000000031
8,10.799999999999997,27.0,3.2000000000000455
9,10.899999999999997,23.4,47.440000000000055
10,10.999999999999996,34.4,339.0400000000002
11,11.099999999999996,25.2,102.96000000000004
12,11.199999999999996,37.6,69.83999999999969
13,11.299999999999995,25.4,3.4400000000000546
14,11.399999999999995,29.4,11.840000000000146
15,11.499999999999995,26.2,26.56000000000006
16,11.599999999999994,31.8,23.75999999999999
17,11.699999999999994,23.8,62.15999999999997
18,11.799999999999994,32.8,50.960000000000036
19,11.899999999999993,24.4,30.6400000000001
20,11.999999999999993,23.0,41.200000000000045
21,12.099999999999993,32.6,53.83999999999992
22,12.199999999999992,29.2,45.75999999999999
23,12.299999999999992,30.4,87.04000000000008
24,12.399999999999991,26.8,106.96000000000004
25,12.499999999999991,27.4,24.6400000000001
26,12.59999999999999,34.2,26.559999999999945
27,12.69999999999999,30.6,78.63999999999987
28,12.79999999999999,23.8,55.75999999999999
29,12.89999999999999,23.2,57.360000000000014
30,12.99999999999999,26.6,4.239999999999895
31,13.099999999999989,26.8,35.75999999999999
32,13.199999999999989,21.6,16.239999999999952
33,13.299999999999988,26.8,56.559999999999945
34,13.399999999999988,22.2,20.560000000000002
35,13.499999999999988,29.4,73.84000000000015
36,13.599999999999987,23.6,137.43999999999994
37,13.699999999999987,23.2,5.360000000000014
38,13.799999999999986,23.2,43.75999999999999
39,13.899999999999986,25.8,24.159999999999968
40,13.999999999999986,23.8,62.95999999999992
41,14.099999999999985,25.8,9.759999999999991
42,14.199999999999985,28.8,17.75999999999999
43,14.299999999999985,17.6,19.839999999999975
44,14.399999999999984,19.6,43.03999999999991
45,14.499999999999984,19.0,65.19999999999999
46,14.599999999999984,23.0,86.0
47,14.699999999999983,17.6,19.839999999999975
48,14.799999999999983,26.4,170.6400000000001
49,14.899999999999983,25.4,66.63999999999999
50,14.999999999999982,24.8,2.159999999999968
51,15.099999999999982,23.8,16.959999999999923
52,15.199999999999982,23.2,6.960000000000036
53,15.299999999999981,19.4,45.440000000000055
54,15.39999999999998,20.2,40.56000000000006
55,15.49999999999998,24.4,25.040000000000077
56,15.59999999999998,16.6,78.63999999999993
57,15.69999999999998,21.0,10.800000000000011
58,15.79999999999998,27.6,13.43999999999994
59,15.899999999999979,22.8,72.55999999999995
60,15.999999999999979,17.6,13.039999999999964
61,16.09999999999998,20.2,28.960000000000036
62,16.199999999999978,25.4,41.04000000000008
63,16.299999999999976,20.0,38.0
64,16.399999999999977,18.0,0.39999999999997726
65,16.49999999999998,22.2,65.76000000000005
66,16.599999999999977,17.2,14.160000000000025
67,16.699999999999974,21.0,21.19999999999999
68,16.799999999999976,22.8,137.36
69,16.899999999999977,28.2,24.159999999999968
70,16.999999999999975,21.8,46.960000000000036
71,17.099999999999973,20.0,6.0
72,17.199999999999974,20.4,14.240000000000009
73,17.299999999999976,14.8,30.159999999999968
74,17.399999999999974,21.6,23.839999999999918
75,17.49999999999997,19.0,32.39999999999998
76,17.599999999999973,12.4,17.839999999999975
77,17.699999999999974,16.0,20.80000000000001
78,17.799999999999972,24.2,89.36000000000001
79,17.89999999999997,14.4,25.439999999999998
80,17.99999999999997,15.8,2.1599999999999966
81,18.099999999999973,15.6,55.440000000000026
82,18.19999999999997,17.0,72.39999999999998
83,18.29999999999997,18.8,44.95999999999992
84,18.39999999999997,16.6,11.43999999999994
85,18.49999999999997,20.0,27.19999999999999
86,18.59999999999997,15.8,77.35999999999999
87,18.699999999999967,16.0,10.0
